nome;sigla;natureza;categoria;projeto;tipo_logradouro;nome_logradouro;numero;complemento;bairro;municipio;uf;cep;ddd;telefone1;telefone2;e-mail;24horas;horario_inicio;horario_fim;dias_funcionamento;presencial;online;funcionamento_pandemia;obs_pandemia;latitude;longitude;verificado;existe_delegacia;delegacia_mulher;endereco_correto;horario_correto;telefone_correto;observacao 
Delegacia Especializada de Atendimento à Mulher – Rio Branco;DEAM;público;Delegacia da Mulher;mapa_delegacia;Via;Chico Mendes;803;;Vila do Dner;Rio Branco;AC;69901-000;68;32214799;32210404;deam.sepc@ac.gov.br;;;;;;;;;-9,9837389;-67,8085784;Não;;;;;;
Delegacia Especializada de Atendimento à Mulher e Proteção ao Menor – Cruzeiro do Sul;DEAM;público;Delegacia da Mulher;mapa_delegacia;Avenida;Vinte e Cinco de Agosto;1923;;São José;Cruzeiro do Sul;AC;69980-000;68;33227440;;carla.ivane@gmail.com;;;;;;;;;-7,6147235;-72,675431;Não;;;;;;
Delegacia das Mulheres - Maceió;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Antônio de Souza Braga;270;;Tabuleiro do Martins;Maceió;AL;57081-457;82;33154327;;deddm2@pc.al.gov.br;Não;08:00;17:00;Dias úteis;Sim;Sim;Sim;Presencialmente só está sendo atendido casos emergenciais;-9,5621809;-35,7579245;Sim;Sim;Sim;Sim;Sim;Sim;Casos urgentes, como estupro e lesão corporal, atendimento apenas presencialmente
Delegacia Especializada de Defesa dos Direitos da Mulher – Arapiraca;DEDDM;público;Delegacia da Mulher;mapa_delegacia;Rua;Professor Domingos Correia;35;;Centro;Arapiraca;AL;57300-010;82;35216318;;deddma@pc.al.gov.br;Não;08:00;18:00;Dias úteis;Sim;Sim;Sim;Atendimento diminuiu por conta da pandemia;-9,7514754;-36,6636259;Sim;Sim;Sim;Sim;Sim;Sim;Delegacia fecha das 12h00 ás 14h00 para almoço, e só atende de terça, quarta e quinta
Delegacia de Defesa da Mulher 1 - Macéio;DDM1;público;Delegacia da Mulher;mapa_delegacia;Rua;Boa Vista;443;;Centro;Maceió;AL;57020-110;82;33154976;;deddm1@pc.al.gov.br;;;;;;;;;-9,6608696;-35,7414906;Não;;;;;;
"Delegacia Especializada em Crimes Contra a Mulher - Norte/Leste
";DECCM;público;Delegacia da Mulher;mapa_delegacia;Rua;Nossa Senhora da Conceição;s/n;;Cidade de Deus;Manaus;AM;69099-000;92;35822778;35821610;;Não;08:00;17:00;Dias úteis;Sim;Sim;Sim;;-3,0171362;-59,9739045;Sim;Sim;Sim;Sim;Não;Sim;
Delegacia Especializada em Crimes Contra a Mulher - Centro/Sul;DECCM;público;Delegacia da Mulher;mapa_delegacia;Avenida;Mário Ypiranga;3395;;Parque Dez de Novembro;Manaus;AM;69057-002;92;36343879;36427676;;Sim;00:00;23:59;Todos os dias;Sim;Sim;Sim;;-3,0880988;-60,0208724;Sim;Sim;Sim;Sim;Sim;Sim;
"Delegacia Especializada em Crimes Contra a Mulher - Zona Sul
";DECCM;público;Delegacia da Mulher;mapa_delegacia;Rua;Desembargador Felismino Soares;155;;Colônia Oliveira Machado;Manaus;AM;69070-620;92;32143653;;;Não;08:00;17:00;Dias úteis;Sim;Sim;Sim;;-3,1476063;-60,0077254;Sim;Sim;Sim;Sim;Não;Sim;
Delegacia da Mulher - Macapá;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;São José;s/n;;Centro;Macapá;AP;68900-093;96;32128136;21012754;dccm@policiacivil.ap.gov.br;;;;;;;;;0,0503613;-51,0842294;Não;;;;;;
Delegacia da Mulher - Laranjal do Jari;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Progresso;1176;;Agreste;Laranjal do Jari;AP;68920-000;96;36213904;;;;;;;;;;;-0,8443663;-52,5402619;Não;;;;;;
Delegacia de Crimes Contra a Mulher - Santana;DCCMS;público;Delegacia da Mulher;mapa_delegacia;Avenida;Santana;s/n;;Centro;Santana;AP;68928-196;96;32814383;;;;;;;;;;;-0,0300244;-51,1800508;Não;;;;;;
Delegacia Especial de Atendimento à Mulher - Candeias;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Duque de Caxias;12;;Santo Antonio;Candeias;BA;43820-150;71;36018785;36018786;deamcandeias@hotmail.com;Não;08:30;17:00;Dias úteis;Sim;Sim;Sim;;-12,673637;-38,5401359;Sim;Sim;Sim;Não;Não;Sim;
Delegacia Especial de Atendimento à Mulher - Salvador;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Padre Luiz Figueira;s/n;;Engenho Velho de Brotas;Salvador;BA;40301-110;71;31167000;31167003;deam.brotas@pcivil.ba.gov.br;Sim;00:00;23:59;Todos os dias;Sim;Sim;Sim;;-12,990432;-38,5006061;Sim;Sim;Sim;Sim;Sim;Sim;
Delegacia Especializada no Atendimento à Mulher - Porto Seguro;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Itagibá;139;;Centro;Porto Seguro;BA;45810-000;73;32889262;32688613;deamportoseguroba@hotmail.com;Não;08:00;18:00;Dias úteis;Sim;Sim;Sim;;-16,450137;-39,0678287;Sim;Sim;Sim;Sim;Sim;Sim;
Delegacia Especializada no Atendimento à Mulher - Paulo Afonso;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Ipanema;s/n;;General Dutra;Paulo Afonso;BA;48607-230;75;32825362;;deampa@bol.com.br;Não;08:00;18:00;Dias úteis;Sim;Sim;Sim;;-9,3918671;-38,2230499;Sim;Sim;Sim;Não;Sim;Sim;
Delegacia Especializada no Atendimento à Mulher - Juazeiro da Bahia;DEAM;público;Delegacia da Mulher;mapa_delegacia;Travessa;Doutor José Araújo de Souza;140;;Santo Antonio;Juazeiro;BA;48900-000;74;36138313;;deamjuazeiro@gmail.com;Não;08:00;18:00;Dias úteis;Sim;Sim;Sim;;-9,4117231;-40,5099008;Sim;Sim;Sim;Sim;Sim;Sim;
Delegacia Especializada no Atendimento à Mulher - Barreiras;DEAM;público;Delegacia da Mulher;mapa_delegacia;Avenida;Avenida Júlio César;500;;Aratu;Barreiras;BA;47800-000;77;36139860;;deambarreiras.ba@hotmail.com;Não;08:00;18:00;Dias úteis com plantão aos fins de semana;Sim;Sim;Sim;;-12,1326536;-44,9793744;Sim;Sim;Sim;Sim;Sim;Sim;Delegacia fecha para almoço das 12h às 14h
Delegacia Especializada no Atendimento à Mulher - DEAM Alagoinhas;DEAM;público;Delegacia da Mulher;mapa_delegacia;Rua;Democrata;48;;Jardim Petrolar;Alagoinhas;BA;48031-090;75;34234759;34238253;deamalagoinhas@hotmail.com;Não;08:30;17:00;Dias úteis;Sim;Sim;Sim;;-12,1523332;-38,4157901;Sim;Sim;Sim;Não;Não;Sim;
