id_estabelecimento,projeto,fonte,nome,sigla,natureza,categoria,abrangencia,descricao,tipo_logradouro,nome_logradouro,numero,numero_sem_numero,complemento,bairro,municipio,cod_IBGE,uf,cep,ddd,telefone1,ramal1,telefone 2,ramal2,whatsapp,e-mail,24horas,horario_inicio,horario_fim,dias_funcionamento,presencial,online,funcionamento_pandemia,obs_pandemia,latitude,longitude,observacao
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especializada de Atendimento à Mulher - Rio Branco,DEAM,público,Delegacia da Mulher,Local,,Via,Chico Mendes,803,,,Vila do Dner,Rio Branco,1200401,AC,69901000,68,32214799,,32210404,,,deam.sepc@ac.gov.br,,,,,,,,,"-9,983739","-67,808578",
,penhas,mapa_acolhimento,"Secretaria de Estado de Assistência Social, Dos Direitos Humanos e de Políticas Para As Mulheres", ,público,Assistência Social,Regional,,Avenida,Nações Unidas,2731,,,Estação Experimental,Rio Branco,5107206,AC,69912600,,,,,,,diretoria.mulheres.ac@gmail.com,Não,08:00:00,17:30:00,Dias úteis,,,,,"-9,974028","-67,809812",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especializada de Atendimento à Mulher e Proteção ao Menor - Cruzeiro do Sul,DEAM,público,Delegacia da Mulher,Local,,Avenida,Vinte e Cinco de Agosto,1923,,,São José,Cruzeiro do Sul,1200203,AC,69980000,68,33227440,,,,,carla.ivane@gmail.com,,,,,,,,,"-7,614724","-72,675431",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia de Defesa da Mulher 1 - Macéio,DDM,público,Delegacia da Mulher,Local,,Rua,Boa Vista,443,,,Centro,Maceió,2704302,AL,57020110,82,33154976,,,,,deddm1@pc.al.gov.br,,,,,,,,,"-9,660870","-35,741491",
,penhas,mapa_acolhimento,Secretaria Municipal de Saúde, ,público,Saúde,Local,,Rua,1º de Maio,1,,,São José da Tapera,São José da Tapera,2708402,AL,57445000,,,,,,,sjtapera@saude.al.gov.br,Não,07:00:00,13:00:00,Dias úteis,,,,,"-9,560840","-37,382045",
,penhas,mapa_acolhimento,Centro Integrado de Segurança Pública - São José Da Tapera,CISP,público,Segurança Pública,Local,,Rua,Manoel Maciano,220,,,,São José Da Tapera,2708402,AL,57445000,,,,,,,,Sim,00:00:00,23:59:00,Todos os dias,,,,,"-9,553118","-37,375466",
,penhas,mapa_acolhimento,Centro de Referência Especializado da Assistência Social - São José da Tapera,CREAS,público,Assistência Social,Local,,Rua,Manoel Maciano,300,,,,São José da Tapera,2708402,AL,57445000,82, 993936228,,,,sim,creastapera@gmail.com,Não,08:00:00,16:00:00,Dias úteis,,,,,"-9,552715","-37,385069",
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia Especializada de Defesa dos Direitos da Mulher - Arapiraca,DEDDM,público,Delegacia da Mulher,Local,,Rua,Professor Domingos Correia,35,,,Centro,Arapiraca,2700300,AL,57300010,82,35216318,,,,,deddma@pc.al.gov.br,Não,08:00:00,18:00:00,Dias úteis,Sim,Sim,Sim,Atendimento diminuiu por conta da pandemia,"-9,751475","-36,663626","Delegacia fecha das 12h00 ás 14h00 para almoço, e só atende de terça, quarta e quinta"
,"mapa_delegacias, penhas",mapa_delegacias,Delegacia das Mulheres - Maceió,DEAM,público,Delegacia da Mulher,Local,,Rua,Antônio de Souza Braga,270,,,Tabuleiro do Martins,Maceió,2704302,AL,57081457,82,33154327,,,,,deddm2@pc.al.gov.br,Não,08:00:00,17:00:00,Dias úteis,Sim,Sim,Sim,Presencialmente só está sendo atendido casos emergenciais,"-9,562181","-35,757925","Casos urgentes, como estupro e lesão corporal, atendimento apenas presencialmente"
,penhas,mapa_acolhimento,UBS Guilherme Alexandre,UBS,público,Saúde,Local,,Rua,Nova República,575,,,Colônia Antônio Aleixo,Manaus,1302603,AM,69008030,92,32169188,,,,,,Não,07:00:00,17:00:00,Dias úteis,,,,,"-3,084572","-59,895518",
,penhas,mapa_acolhimento,UBS Nova Esperança,UBS,público,Saúde,Local,,Rua,Nova Esperança,,,,Colônia Antônio Aleixo,Manaus,1302603,AM,69008110,92,32144130,,,,,,Não,07:00:00,17:00:00,Dias úteis,,,,,"-3,086472","-59,888514",
,penhas,mapa_acolhimento,UBS Lago do Aleixo (esf-151),UBS,público,Saúde,Local,,Rua,Da Olária,198,,,Colônia Antônio Aleixo,Manaus,1302603,AM,69008170,92,36159187,,32185152,,,,Não,07:00:00,17:00:00,Dias úteis,,,,,"-3,087818","-59,880881",
,penhas,mapa_acolhimento,UBS Dr. Platão Araujo (esf-120),UBS,público,Saúde,Local,,Rua,Barroso,,,,Puraquequara,Manaus,1302603,AM,69009325,92,36182031,,,,,,Não,08:00:00,17:00:00,Dias úteis,,,,,"-3,022976","-59,973675",
,penhas,mapa_acolhimento,USF José Figliuolo,UBS,público,Saúde,Local,,Rua,Rio Maicuru,,,,Lago Azul,Manaus,1302603,AM,69018562,92,36547204,,,,,,Não,07:00:00,17:00:00,Dias úteis,,,,,"-2,968068","-59,996996",
,penhas,mapa_acolhimento,Centro de Referência Especializado da Assistência Social Centro-Sul - Manaus,CREAS,público,Assistência Social,Local,,Avenida,Leonardo Malcher,1101,,,Centro,Manaus,1302603,AM,69020070,92,32327886,,,,,,,,,,,,,,"-3,125801","-60,022387",
,penhas,mapa_acolhimento,"Secretaria Municipal da Mulher, Assistência Social e Cidadania",SEMASC,público,Assistência Social,Local,,Avenida,Ayrão,,,,Centro,Manaus,1302603,AM,69025005,92,32152305,,,,,,Não,08:00:00,17:00:00,Dias úteis,,,,,"-3,117455","-60,022623",
